"Ano";"UF";"Homens";"Mulheres"
"1998";"Acre";8;1
"1998";"Alagoas";8;2
"1998";"Amapá";8;1
"1998";"Amazonas";8;1
"1998";"Bahia";40;0
"1998";"Ceará";23;0
"1998";"Distrito Federal";8;1
"1998";"Espírito Santo";10;1
"1998";"Goiás";15;3
"1998";"Maranhão";18;1
"1998";"Mato Grosso";7;2
"1998";"Mato Grosso do Sul";8;1
"1998";"Minas Gerais";51;3
"1998";"Pará";17;1
"1998";"Paraíba";13;0
"1998";"Paraná";31;0
"1998";"Pernambuco";26;0
"1998";"Piauí";11;0
"1998";"Rio de Janeiro";43;4
"1998";"Rio Grande do Norte";8;1
"1998";"Rio Grande do Sul";31;1
"1998";"Rondônia";8;1
"1998";"Roraima";9;0
"1998";"Santa Catarina";16;1
"1998";"São Paulo";67;4
"1998";"Sergipe";8;2
"1998";"Tocantins";9;0
"1998";"Todas as UFs";509;31
"2002";"Acre";8;2
"2002";"Alagoas";11;0
"2002";"Amapá";9;1
"2002";"Amazonas";9;1
"2002";"Bahia";39;2
"2002";"Ceará";23;1
"2002";"Distrito Federal";9;1
"2002";"Espírito Santo";10;2
"2002";"Goiás";16;3
"2002";"Maranhão";17;3
"2002";"Mato Grosso";7;3
"2002";"Mato Grosso do Sul";10;0
"2002";"Minas Gerais";54;1
"2002";"Pará";17;2
"2002";"Paraíba";13;1
"2002";"Paraná";31;1
"2002";"Pernambuco";27;0
"2002";"Piauí";11;1
"2002";"Rio de Janeiro";42;6
"2002";"Rio Grande do Norte";8;2
"2002";"Rio Grande do Sul";29;4
"2002";"Rondônia";8;2
"2002";"Roraima";8;2
"2002";"Santa Catarina";16;2
"2002";"São Paulo";66;6
"2002";"Sergipe";10;0
"2002";"Tocantins";9;1
"2002";"Todas as UFs";517;50
"2006";"Acre";8;1
"2006";"Alagoas";10;0
"2006";"Amapá";5;4
"2006";"Amazonas";7;2
"2006";"Bahia";36;4
"2006";"Ceará";22;1
"2006";"Distrito Federal";9;0
"2006";"Espírito Santo";7;4
"2006";"Goiás";16;2
"2006";"Maranhão";18;1
"2006";"Mato Grosso";8;1
"2006";"Mato Grosso do Sul";8;1
"2006";"Minas Gerais";51;3
"2006";"Pará";16;2
"2006";"Paraíba";13;0
"2006";"Paraná";31;0
"2006";"Pernambuco";25;1
"2006";"Piauí";11;0
"2006";"Rio de Janeiro";41;0
"2006";"Rio Grande do Norte";6;3
"2006";"Rio Grande do Sul";29;3
"2006";"Rondônia";8;1
"2006";"Roraima";7;2
"2006";"Santa Catarina";16;1
"2006";"São Paulo";68;3
"2006";"Sergipe";8;1
"2006";"Tocantins";7;2
"2006";"Todas as UFs";491;49
"2010";"Acre";8;2
"2010";"Alagoas";9;2
"2010";"Amapá";7;3
"2010";"Amazonas";8;2
"2010";"Bahia";39;2
"2010";"Ceará";23;1
"2010";"Distrito Federal";8;2
"2010";"Espírito Santo";8;4
"2010";"Goiás";16;3
"2010";"Maranhão";19;1
"2010";"Mato Grosso";10;0
"2010";"Mato Grosso do Sul";10;0
"2010";"Minas Gerais";54;1
"2010";"Pará";18;1
"2010";"Paraíba";13;1
"2010";"Paraná";29;3
"2010";"Pernambuco";25;2
"2010";"Piauí";11;1
"2010";"Rio de Janeiro";44;4
"2010";"Rio Grande do Norte";8;2
"2010";"Rio Grande do Sul";30;3
"2010";"Rondônia";9;1
"2010";"Roraima";8;2
"2010";"Santa Catarina";17;1
"2010";"São Paulo";65;7
"2010";"Sergipe";10;0
"2010";"Tocantins";9;1
"2010";"Todas as UFs";515;52
"2014";"Acre";8;1
"2014";"Alagoas";10;0
"2014";"Amapá";6;3
"2014";"Amazonas";8;1
"2014";"Bahia";37;3
"2014";"Ceará";21;2
"2014";"Distrito Federal";8;1
"2014";"Espírito Santo";10;1
"2014";"Goiás";16;2
"2014";"Maranhão";18;1
"2014";"Mato Grosso";9;0
"2014";"Mato Grosso do Sul";7;2
"2014";"Minas Gerais";49;5
"2014";"Pará";15;3
"2014";"Paraíba";13;0
"2014";"Paraná";29;2
"2014";"Pernambuco";25;1
"2014";"Piauí";9;2
"2014";"Rio de Janeiro";41;6
"2014";"Rio Grande do Norte";7;2
"2014";"Rio Grande do Sul";31;1
"2014";"Rondônia";7;2
"2014";"Roraima";7;2
"2014";"Santa Catarina";15;2
"2014";"São Paulo";65;6
"2014";"Sergipe";8;1
"2014";"Tocantins";5;4
"2014";"Todas as UFs";484;56