Ano;UF;Violência Física;Violência Psicológica;Violência Patrimonial;Violência Sexual;Violência Moral;Cárcere Privado;Tráfico de Pessoas;Denúncias e Relatos
2009;Acre;17;12;2;2;2;1;0;36
2009;Alagoas;426;232;18;10;48;0;0;734
2009;Amapá;44;30;1;2;4;0;0;81
2009;Amazonas;75;48;3;0;10;0;0;136
2009;Bahia;1504;829;48;28;198;7;1;2615
2009;Ceará;260;173;9;3;62;3;0;510
2009;Distrito Federal;1012;685;30;30;179;5;1;1942
2009;Espírito Santo;516;268;18;14;86;4;2;908
2009;Goiás;829;486;37;13;102;5;5;1477
2009;Maranhão;372;169;12;11;33;1;1;599
2009;Mato Grosso;173;141;11;4;52;1;0;382
2009;Mato Grosso do Sul;260;159;7;6;51;1;0;484
2009;Minas Gerais;1531;988;52;48;262;11;0;2892
2009;Pará;726;363;22;28;107;3;1;1250
2009;Paraíba;230;148;6;9;31;1;0;425
2009;Paraná;1323;722;66;36;175;10;3;2335
2009;Pernambuco;551;346;27;15;92;4;0;1035
2009;Piauí;185;92;4;6;23;1;1;312
2009;Rio de Janeiro;2891;1894;88;75;517;15;3;5483
2009;Rio Grande do Norte;318;201;10;12;47;3;0;591
2009;Rio Grande do Sul;985;768;51;32;203;6;0;2045
2009;Rondônia;69;47;4;1;12;0;1;134
2009;Roraima;19;13;2;1;8;0;0;43
2009;Santa Catarina;314;194;16;7;57;3;0;591
2009;São Paulo;6597;4345;244;145;1129;26;5;12491
2009;Sergipe;154;73;6;4;29;0;0;266
2009;Tocantins;137;67;4;4;18;2;0;232
2009;Todas as UFs;21518;13493;798;546;3537;113;24;40029
2010;Acre;95;42;2;3;23;0;0;165
2010;Alagoas;664;222;10;17;128;3;0;1044
2010;Amapá;123;73;3;1;33;1;0;234
2010;Amazonas;283;107;4;3;51;0;0;448
2010;Bahia;4582;1564;109;123;727;38;0;7143
2010;Ceará;748;304;25;20;137;6;2;1242
2010;Distrito Federal;1660;885;56;33;394;5;1;3034
2010;Espírito Santo;924;435;26;48;218;5;0;1656
2010;Goiás;2014;994;46;54;438;10;4;3560
2010;Maranhão;7;0;1;0;0;0;0;8
2010;Mato Grosso;5;0;0;0;1;0;0;6
2010;Mato Grosso do Sul;2;0;0;0;0;0;0;2
2010;Minas Gerais;16;4;0;1;0;1;0;22
2010;Pará;6;5;0;0;1;1;0;13
2010;Paraíba;1;0;0;0;0;0;0;1
2010;Paraná;6;2;0;0;0;1;0;9
2010;Pernambuco;7;2;0;0;1;0;0;10
2010;Piauí;0;0;0;0;0;0;0;0
2010;Rio de Janeiro;30;6;0;2;10;1;0;49
2010;Rio Grande do Norte;1;0;0;1;0;0;0;2
2010;Rio Grande do Sul;8;1;0;0;2;0;0;11
2010;Rondônia;0;0;0;0;0;0;0;0
2010;Roraima;0;0;0;0;0;0;0;0
2010;Santa Catarina;5;1;0;0;0;0;0;6
2010;São Paulo;9791;5429;312;342;2428;63;6;18371
2010;Sergipe;1;0;0;0;0;0;0;1
2010;Tocantins;1;0;0;0;0;0;0;1
2010;Todas as UFs;20980;10076;594;648;4592;135;13;37038
2011;Acre;136;46;2;2;22;0;0;208
2011;Alagoas;917;329;29;34;109;5;0;1423
2011;Amapá;146;56;2;7;23;0;0;234
2011;Amazonas;256;97;9;4;39;1;0;406
2011;Bahia;4536;1716;98;155;741;32;0;7278
2011;Ceará;641;236;10;13;90;0;0;990
2011;Distrito Federal;1247;612;43;26;270;6;0;2204
2011;Espírito Santo;8;3;0;0;2;0;0;13
2011;Goiás;15;5;0;0;2;0;0;22
2011;Maranhão;977;284;20;26;149;3;0;1459
2011;Mato Grosso;1;2;1;0;0;0;0;4
2011;Mato Grosso do Sul;2;4;1;0;0;0;0;7
2011;Minas Gerais;29;13;1;0;4;0;0;47
2011;Pará;24;9;1;1;1;0;0;36
2011;Paraíba;11;3;0;0;3;0;0;17
2011;Paraná;36;9;0;0;3;0;0;48
2011;Pernambuco;6;0;0;0;1;0;0;7
2011;Piauí;12;0;1;0;0;0;0;13
2011;Rio de Janeiro;57;20;1;3;10;0;0;91
2011;Rio Grande do Norte;8;5;0;0;1;0;0;14
2011;Rio Grande do Sul;17;6;0;0;5;0;0;28
2011;Rondônia;1;0;1;0;0;0;0;2
2011;Roraima;44;30;0;0;17;0;0;91
2011;Santa Catarina;797;372;30;23;157;5;0;1384
2011;São Paulo;12056;5139;339;241;2407;47;2;20231
2011;Sergipe;801;357;18;20;197;4;0;1397
2011;Tocantins;358;128;13;5;61;2;0;567
2011;Todas as UFs;23139;9481;620;560;4314;105;2;38221
2012;Acre;86;45;1;3;21;1;0;157
2012;Alagoas;483;234;17;8;117;0;0;859
2012;Amapá;139;66;1;1;33;1;0;241
2012;Amazonas;133;61;4;3;25;0;0;226
2012;Bahia;3119;1313;56;92;563;9;1;5153
2012;Ceará;630;249;10;21;127;1;0;1038
2012;Distrito Federal;1351;790;49;46;383;11;0;2630
2012;Espírito Santo;901;504;20;29;206;5;0;1665
2012;Goiás;1467;706;39;38;305;7;1;2563
2012;Maranhão;1022;315;21;14;155;1;0;1528
2012;Mato Grosso;335;205;13;9;116;1;0;679
2012;Mato Grosso do Sul;707;365;21;12;186;3;0;1294
2012;Minas Gerais;2814;1596;94;88;677;14;1;5284
2012;Pará;1286;466;30;27;242;4;0;2055
2012;Paraíba;313;184;12;11;93;0;0;613
2012;Paraná;1703;772;48;38;374;5;0;2940
2012;Pernambuco;878;480;32;23;225;7;0;1645
2012;Piauí;534;248;17;19;125;2;0;945
2012;Rio de Janeiro;4918;2877;184;97;1333;12;0;9421
2012;Rio Grande do Norte;448;206;13;16;123;3;0;809
2012;Rio Grande do Sul;1596;1078;66;39;420;7;0;3206
2012;Rondônia;170;96;9;5;51;0;0;331
2012;Roraima;55;19;2;1;15;0;0;92
2012;Santa Catarina;532;267;18;18;109;5;0;949
2012;São Paulo;6188;3562;220;157;1605;21;4;11757
2012;Sergipe;337;139;7;6;71;0;0;560
2012;Tocantins;158;57;6;4;27;0;0;252
2012;Todas as UFs;32303;16900;1010;825;7727;120;7;58892
2013;Acre;73;32;4;3;15;5;0;132
2013;Alagoas;533;271;16;9;81;10;0;920
2013;Amapá;151;65;5;6;21;3;3;254
2013;Amazonas;118;72;1;5;40;0;1;237
2013;Bahia;2585;1338;77;86;456;42;0;4584
2013;Ceará;539;245;12;28;100;5;0;929
2013;Distrito Federal;1051;703;37;38;267;18;1;2115
2013;Espírito Santo;776;483;17;37;197;8;1;1519
2013;Goiás;1238;635;43;29;202;19;4;2170
2013;Maranhão;1098;381;25;27;142;19;1;1693
2013;Mato Grosso;384;246;16;19;522;6;1;1194
2013;Mato Grosso do Sul;601;336;23;13;132;18;2;1125
2013;Minas Gerais;2730;1705;99;106;87;37;7;4771
2013;Pará;1258;606;45;31;220;23;3;2186
2013;Paraíba;439;248;10;15;91;9;1;813
2013;Paraná;1630;868;57;51;178;27;3;2814
2013;Pernambuco;969;555;33;28;73;18;3;1679
2013;Piauí;442;208;11;11;283;6;0;961
2013;Rio de Janeiro;3863;2561;171;81;887;48;2;7613
2013;Rio Grande do Norte;360;191;5;10;54;4;1;625
2013;Rio Grande do Sul;1627;1067;68;56;38;47;1;2904
2013;Rondônia;203;121;10;3;14;3;1;355
2013;Roraima;34;24;3;1;350;4;1;417
2013;Santa Catarina;519;326;19;16;110;13;0;1003
2013;São Paulo;6405;3951;257;163;68;82;3;10929
2013;Sergipe;414;176;5;0;1361;6;0;1962
2013;Tocantins;142;56;4;6;22;0;1;231
2013;Todas as UFs;30182;17470;1073;878;6011;480;41;56135
2014;Acre;69;32;0;6;10;2;0;119
2014;Alagoas;295;140;7;10;50;6;2;510
2014;Amapá;0;0;0;0;0;0;0;0
2014;Amazonas;0;1;0;0;0;0;0;1
2014;Bahia;10;1;0;0;0;0;0;11
2014;Ceará;1;1;0;0;0;1;0;3
2014;Distrito Federal;5;2;1;0;2;0;0;10
2014;Espírito Santo;4;2;0;0;0;0;0;6
2014;Goiás;1;4;1;0;0;0;0;6
2014;Maranhão;4;1;0;1;0;0;0;6
2014;Mato Grosso;4;0;0;1;0;0;0;5
2014;Mato Grosso do Sul;4;1;0;0;0;0;0;5
2014;Minas Gerais;11;8;0;0;1;1;0;21
2014;Pará;6;4;0;0;1;0;0;11
2014;Paraíba;3;0;0;0;0;0;0;3
2014;Paraná;5;5;0;0;3;0;0;13
2014;Pernambuco;2;0;0;0;0;0;0;2
2014;Piauí;0;1;0;0;0;0;0;1
2014;Rio de Janeiro;5;1;0;1;1;0;0;8
2014;Rio Grande do Norte;1;1;0;0;0;0;0;2
2014;Rio Grande do Sul;4;5;0;0;1;0;0;10
2014;Rondônia;1;0;0;0;0;0;0;1
2014;Roraima;0;0;0;0;0;0;0;0
2014;Santa Catarina;2;2;0;0;0;0;0;4
2014;São Paulo;27;14;0;1;2;0;0;44
2014;Sergipe;1;0;0;0;0;0;0;1
2014;Tocantins;0;0;0;0;0;0;0;0
2014;Todas as UFs;465;226;9;20;71;10;2;803
2015;Acre;66;42;2;16;15;15;1;157
2015;Alagoas;600;250;19;64;63;47;2;1045
2015;Amapá;1;1;0;0;0;0;0;2
2015;Amazonas;1;0;0;0;0;0;0;1
2015;Bahia;6;6;0;0;0;0;0;12
2015;Ceará;1;1;0;0;0;0;0;2
2015;Distrito Federal;4;1;0;0;0;0;0;5
2015;Espírito Santo;1;0;0;0;0;0;0;1
2015;Goiás;5;1;0;1;0;0;0;7
2015;Maranhão;3;0;0;0;0;0;0;3
2015;Mato Grosso;1;1;0;1;0;1;1;5
2015;Mato Grosso do Sul;1;1;0;0;0;0;0;2
2015;Minas Gerais;12;3;0;0;2;0;0;17
2015;Pará;5;1;0;0;0;0;0;6
2015;Paraíba;4;0;0;0;0;0;0;4
2015;Paraná;9;2;0;0;1;0;0;12
2015;Pernambuco;3;1;0;0;0;0;0;4
2015;Piauí;0;1;0;0;0;0;0;1
2015;Rio de Janeiro;12;5;0;0;0;1;0;18
2015;Rio Grande do Norte;0;0;0;0;0;0;0;0
2015;Rio Grande do Sul;5;4;0;0;2;0;0;11
2015;Rondônia;0;0;0;0;0;0;0;0
2015;Roraima;0;0;0;0;0;0;0;0
2015;Santa Catarina;1;1;0;0;0;0;0;2
2015;São Paulo;14;7;0;1;2;1;0;25
2015;Sergipe;0;1;0;0;0;0;0;1
2015;Tocantins;0;0;0;0;0;0;0;0
2015;Todas as UFs;755;330;21;83;85;65;4;1343
